trade_id,asset,direction,entry_ts,exit_ts,entry_price,exit_price,best_tf,best_period,confidence,pvt_r,leverage,position_usd,hard_sl,exit_reason,bars_held,duration_hours,pnl_pct,pnl_usd,peak_r
15,TRX,LONG,2024-07-12 10:00:00+00:00,2024-07-12 11:00:00+00:00,0.13632,0.13614140610076622,1h,109,0.9860759377479553,0.9687969088554382,5,2500.0,0.1347575000349246,ADAPTIVE_TRAIL_HIT,1,1.0,-0.6551,-16.38,0.9864
16,TRX,LONG,2024-07-12 11:00:00+00:00,2024-07-12 13:00:00+00:00,0.13655,0.13640331690821178,1h,110,0.9864532947540283,0.9696013331413269,5,2500.0,0.13492321433005855,ADAPTIVE_TRAIL_HIT,2,2.0,-0.5371,-13.43,0.9869
17,ADA,LONG,2024-07-12 13:00:00+00:00,2024-07-13 04:00:00+00:00,0.4044,0.4116315449871924,30m,191,0.9759983420372009,0.9372987151145935,5,2500.0,0.39657857141047714,ADAPTIVE_TRAIL_HIT,30,15.0,8.9411,223.53,0.9765
18,NEAR,LONG,2024-07-12 16:00:00+00:00,2024-07-12 16:05:00+00:00,4.996,4.998550348526154,5m,61,0.9555335640907288,0.8901792764663696,5,2500.0,4.936178571268917,ADAPTIVE_TRAIL_HIT,1,0.08,0.2552,6.38,0.9568
19,NEAR,LONG,2024-07-12 17:00:00+00:00,2024-07-12 17:05:00+00:00,5.012,5.029601649424972,5m,76,0.9633892774581909,0.9053300023078918,5,2500.0,4.957535715669393,ADAPTIVE_TRAIL_HIT,1,0.08,1.756,43.9,0.9628
20,NEAR,LONG,2024-07-12 18:00:00+00:00,2024-07-12 18:05:00+00:00,5.028,5.053076634459977,5m,96,0.9675086140632629,0.9076762795448303,5,2500.0,4.979607142575085,ADAPTIVE_TRAIL_HIT,1,0.08,2.4937,62.34,0.967
21,NEAR,LONG,2024-07-12 19:00:00+00:00,2024-07-12 19:30:00+00:00,5.123,5.1311729974365905,30m,20,0.972296416759491,0.9410468935966492,5,2500.0,4.964428566724062,ADAPTIVE_TRAIL_HIT,1,0.5,0.7977,19.94,0.9746
22,TRX,LONG,2024-07-12 20:00:00+00:00,2024-07-12 21:00:00+00:00,0.13708,0.1372109193712959,1h,119,0.9885593056678772,0.9743464589118958,5,2500.0,0.13573357138332912,ADAPTIVE_TRAIL_HIT,1,1.0,0.4775,11.94,0.9887
23,TRX,LONG,2024-07-12 21:00:00+00:00,2024-07-12 22:00:00+00:00,0.13698,0.13730943502855034,1h,120,0.9887300729751587,0.974766731262207,5,2500.0,0.13567999999646096,ADAPTIVE_TRAIL_HIT,1,1.0,1.2025,30.06,0.9888
24,TRX,LONG,2024-07-12 22:00:00+00:00,2024-07-12 23:00:00+00:00,0.13704,0.13741307305805162,1h,121,0.9888769388198853,0.975138783454895,5,2500.0,0.13582392860409803,ADAPTIVE_TRAIL_HIT,1,1.0,1.3612,34.03,0.989
